D43
B23
B22
B21
B20
B19
B18
B17
B16
B15
B14
B13
B12
R36
R31
D22
D21
D20
D17
D16
D15
D14
A24
A15
D13
D12
D11
D10
D09
D08
D07
D06
D05
D04
D03
D01
